Algorithm,Size,Type,Runs,Avg Time (ms),Min Time (ms),Max Time (ms),Comparisons,Interchanges
Bubble,100,Reverse,5,0.005,0.004,0.006,4950,4950
Selection,100,Reverse,5,0.003,0.003,0.004,4950,99
Insertion,100,Reverse,5,0.003,0.003,0.004,4950,4950
Merge,100,Reverse,5,0.002,0.001,0.006,316,672
Quick,100,Reverse,5,0.007,0.003,0.020,4950,2549
Heap,100,Reverse,5,0.005,0.004,0.007,657,516
Bubble,1514,Reverse,5,1.373,1.099,1.734,1145341,1145341
Selection,1514,Reverse,5,0.362,0.351,0.391,1145341,1513
Insertion,1514,Reverse,5,0.436,0.426,0.451,1145341,1145341
Merge,1514,Reverse,5,0.027,0.026,0.030,7761,16120
Quick,1514,Reverse,5,0.581,0.568,0.594,1145341,573805
Heap,1514,Reverse,5,0.071,0.062,0.096,18666,13571
Bubble,2929,Reverse,5,4.151,4.044,4.422,4288056,4288056
Selection,2929,Reverse,5,1.392,1.365,1.428,4288056,2928
Insertion,2929,Reverse,5,2.476,2.401,2.633,4288056,4288056
Merge,2929,Reverse,5,0.901,0.077,4.120,16326,33981
Quick,2929,Reverse,5,2.236,2.094,2.534,4288056,2146224
Heap,2929,Reverse,5,0.119,0.106,0.142,40181,28998
Bubble,4343,Reverse,5,9.106,8.974,9.344,9428653,9428653
Selection,4343,Reverse,5,3.166,3.023,3.341,9428653,4342
Insertion,4343,Reverse,5,5.456,5.279,5.660,9428653,9428653
Merge,4343,Reverse,5,0.101,0.090,0.117,25788,52610
Quick,4343,Reverse,5,5.498,5.007,6.258,9428653,4717583
Heap,4343,Reverse,5,0.175,0.170,0.181,63199,45503
Bubble,5757,Reverse,5,15.924,15.819,16.178,16568646,16568646
Selection,5757,Reverse,5,5.831,5.371,6.556,16568646,5756
Insertion,5757,Reverse,5,6.656,6.493,6.792,16568646,16568646
Merge,5757,Reverse,5,0.136,0.123,0.178,34852,72406
Quick,5757,Reverse,5,9.244,9.092,9.509,16568646,8288640
Heap,5757,Reverse,5,0.246,0.240,0.253,87287,62610
Bubble,7171,Reverse,5,25.662,25.401,25.867,25708035,25708035
Selection,7171,Reverse,5,9.163,8.909,9.724,25708035,7170
Insertion,7171,Reverse,5,10.715,10.598,10.931,25708035,25708035
Merge,7171,Reverse,5,0.171,0.157,0.192,45067,92202
Quick,7171,Reverse,5,14.765,14.582,15.259,25708035,12859395
Heap,7171,Reverse,5,0.322,0.312,0.349,112291,80241
Bubble,8586,Reverse,5,36.714,36.148,37.234,36855405,36855405
Selection,8586,Reverse,5,12.813,12.597,13.293,36855405,8585
Insertion,8586,Reverse,5,15.385,15.264,15.585,36855405,36855405
Merge,8586,Reverse,5,0.198,0.190,0.216,55277,112406
Quick,8586,Reverse,5,21.167,20.848,21.359,36855405,18434141
Heap,8586,Reverse,5,0.380,0.372,0.402,138798,98871
Bubble,10000,Reverse,5,49.807,49.219,50.704,49995000,49995000
Selection,10000,Reverse,5,17.042,16.742,17.418,49995000,9999
Insertion,10000,Reverse,5,28.990,28.877,29.159,49995000,49995000
Merge,10000,Reverse,5,0.278,0.238,0.310,64608,133616
Quick,10000,Reverse,5,28.013,27.799,28.407,49995000,25004999
Heap,10000,Reverse,5,0.504,0.454,0.555,163618,116696
